soil, line, x_position, height
AK, 1, 39, -1.13793
HV, 1, 39, -0.517241
BV, 1, 39, 1.03448
AK, 1, 89, 1.44828
HV, 1, 89, 2.2069
BV, 1, 89, 5
AK, 1, 139, 1.44828
HV, 1, 139, 2.2069
BV, 1, 139, 5.03448
AK, 1, 189, 1.44828
HV, 1, 189, 2.17241
BV, 1, 189, 5.03448
AK, 1, 239, 1.44828
HV, 1, 239, 2.17241
BV, 1, 239, 5.06897
AK, 1, 289, 1.44828
HV, 1, 289, 2.17241
BV, 1, 289, 5.10345
AK, 1, 339, 1.44828
HV, 1, 339, 2.27586
BV, 1, 339, 5.10345
AK, 1, 389, 1.44828
HV, 1, 389, 2.51724
BV, 1, 389, 5.13793
AK, 1, 439, 1.48276
HV, 1, 439, 2.37931
BV, 1, 439, 5.17241
AK, 1, 489, 1.48276
HV, 1, 489, 2.31034
BV, 1, 489, 5.10345
AK, 1, 539, 1.48276
HV, 1, 539, 2.31034
BV, 1, 539, 5
AK, 1, 589, 1.48276
HV, 1, 589, 2.34483
BV, 1, 589, 4.86207
AK, 1, 639, 1.44828
HV, 1, 639, 2.34483
BV, 1, 639, 4.72414
AK, 1, 689, 1.44828
HV, 1, 689, 2.17241
BV, 1, 689, 4.75862
AK, 1, 739, 1.41379
HV, 1, 739, 2.17241
BV, 1, 739, 4.7931
AK, 1, 789, 1.37931
HV, 1, 789, 2.17241
BV, 1, 789, 4.7931
AK, 1, 839, 1.37931
HV, 1, 839, 2.17241
BV, 1, 839, 4.7931
AK, 1, 889, 1.41379
HV, 1, 889, 2.10345
BV, 1, 889, 4.7931
AK, 1, 939, 1.44828
HV, 1, 939, 2.17241
BV, 1, 939, 4.7931
AK, 1, 989, 1.48276
HV, 1, 989, 2.27586
BV, 1, 989, 4.7931
AK, 1, 1039, 1.51724
HV, 1, 1039, 2.31034
BV, 1, 1039, 4.82759
AK, 1, 1089, 1.58621
HV, 1, 1089, 2.34483
BV, 1, 1089, 4.82759
AK, 1, 1139, 1.58621
HV, 1, 1139, 2.34483
BV, 1, 1139, 4.82759
AK, 1, 1189, 1.62069
HV, 1, 1189, 2.34483
BV, 1, 1189, 4.82759
AK, 1, 1239, 1.65517
HV, 1, 1239, 2.41379
BV, 1, 1239, 4.82759
AK, 1, 1289, 1.68966
HV, 1, 1289, 2.48276
BV, 1, 1289, 4.82759
AK, 1, 1339, 1.68966
HV, 1, 1339, 2.44828
BV, 1, 1339, 4.7931
AK, 1, 1389, 1.62069
HV, 1, 1389, 2.37931
BV, 1, 1389, 4.7931
AK, 1, 1439, 1.58621
HV, 1, 1439, 2.34483
BV, 1, 1439, 4.75862
AK, 1, 1489, 1.62069
HV, 1, 1489, 2.62069
BV, 1, 1489, 4.75862
